iter	Passed	Remaining
0	6	6335
1	10	5110
2	14	4800
3	17	4236
4	19	3869
5	21	3614
6	23	3365
7	26	3267
8	28	3101
9	30	3058
10	32	2917
11	34	2800
12	36	2753
13	38	2680
14	39	2615
15	41	2580
16	43	2527
17	45	2466
18	46	2416
19	48	2371
20	50	2342
21	52	2341
22	54	2318
23	56	2297
24	58	2289
25	60	2268
26	62	2239
27	63	2211
28	65	2192
29	67	2166
30	68	2142
31	70	2125
32	71	2108
33	73	2100
34	75	2087
35	77	2076
36	79	2062
37	80	2047
38	82	2036
39	84	2019
40	85	2004
41	87	1989
42	89	1986
43	90	1973
44	92	1972
45	94	1967
46	96	1956
47	97	1943
48	99	1932
49	101	1926
50	102	1915
51	104	1909
52	106	1909
53	108	1900
54	110	1894
55	111	1887
56	113	1881
57	115	1877
58	117	1873
59	119	1867
60	120	1859
61	122	1858
62	124	1853
63	126	1851
64	128	1845
65	129	1836
66	131	1828
67	133	1828
68	134	1820
69	136	1813
70	138	1805
71	139	1799
72	141	1791
73	142	1784
74	144	1780
75	145	1774
76	147	1768
77	149	1762
78	150	1755
79	152	1752
80	153	1745
81	155	1742
82	157	1736
83	158	1729
84	160	1726
85	161	1721
86	163	1717
87	165	1713
88	167	1712
89	168	1707
90	170	1702
91	172	1698
92	173	1693
93	175	1688
94	176	1685
95	178	1681
96	180	1676
97	181	1673
98	183	1669
99	184	1664
100	186	1662
101	188	1657
102	190	1656
103	191	1651
104	193	1646
105	194	1644
106	196	1639
107	198	1636
108	199	1633
109	201	1629
110	203	1626
111	204	1622
112	206	1618
113	207	1615
114	209	1611
115	211	1608
116	213	1607
117	214	1604
118	216	1600
119	217	1596
120	219	1592
121	220	1588
122	222	1584
123	223	1582
124	226	1582
125	227	1580
126	229	1578
127	231	1575
128	232	1572
129	234	1568
130	235	1565
131	237	1561
132	239	1558
133	240	1555
134	242	1552
135	244	1550
136	245	1547
137	247	1544
138	248	1541
139	250	1537
140	252	1538
141	254	1535
142	255	1531
143	257	1528
144	258	1525
145	260	1521
146	261	1518
147	263	1515
148	264	1512
149	266	1509
150	267	1506
151	269	1503
152	270	1499
153	272	1496
154	273	1493
155	275	1490
156	277	1488
157	278	1485
158	280	1483
159	282	1481
160	284	1480
161	285	1478
162	287	1476
163	289	1473
164	290	1471
165	292	1469
166	293	1466
167	295	1463
168	297	1461
169	298	1458
170	300	1456
171	301	1453
172	303	1450
173	304	1447
174	306	1445
175	308	1442
176	309	1439
177	313	1448
178	315	1446
179	316	1443
180	318	1440
181	319	1438
182	321	1435
183	323	1432
184	324	1429
185	326	1427
186	327	1424
187	329	1421
188	331	1420
189	332	1417
190	334	1415
191	335	1413
192	337	1410
193	338	1408
194	340	1406
195	342	1404
196	343	1401
197	345	1399
198	347	1396
199	348	1394
200	350	1391
201	351	1388
202	353	1386
203	354	1383
204	356	1383
205	358	1382
206	360	1379
207	361	1377
208	363	1374
209	364	1372
210	366	1370
211	368	1367
212	369	1365
213	371	1363
214	372	1361
215	374	1359
216	376	1359
217	378	1357
218	380	1355
219	381	1353
220	383	1351
221	385	1350
222	386	1347
223	388	1345
224	390	1344
225	391	1341
226	393	1340
227	395	1337
228	396	1335
229	398	1333
230	399	1330
231	401	1328
232	402	1325
233	404	1323
234	405	1321
235	407	1318
236	409	1318
237	410	1315
238	412	1313
239	414	1312
240	415	1309
241	417	1307
242	418	1305
243	420	1302
244	422	1300
245	423	1298
246	425	1296
247	426	1294
248	428	1292
249	430	1290
250	431	1288
251	433	1286
252	434	1284
253	436	1282
254	438	1279
255	439	1278
256	441	1275
257	442	1273
258	444	1271
259	446	1269
260	447	1267
261	449	1266
262	450	1263
263	452	1261
264	454	1259
265	455	1256
266	457	1255
267	458	1252
268	460	1250
269	461	1248
270	463	1246
271	464	1244
272	466	1242
273	467	1239
274	469	1237
275	471	1235
276	472	1233
277	474	1231
278	475	1229
279	477	1227
280	478	1225
281	480	1223
282	482	1222
283	484	1220
284	485	1218
285	487	1217
286	489	1215
287	490	1212
288	492	1211
289	493	1209
290	495	1207
291	497	1205
292	498	1202
293	500	1200
294	501	1198
295	503	1196
296	504	1194
297	506	1192
298	507	1190
299	509	1188
300	510	1186
301	512	1184
302	514	1182
303	515	1180
304	517	1178
305	519	1177
306	520	1175
307	522	1172
308	523	1170
309	525	1168
310	526	1166
311	528	1165
312	530	1163
313	531	1161
314	533	1159
315	535	1158
316	536	1156
317	538	1154
318	539	1152
319	541	1150
320	543	1149
321	544	1147
322	546	1145
323	548	1143
324	549	1141
325	551	1139
326	552	1137
327	554	1135
328	555	1133
329	557	1131
330	558	1129
331	560	1127
332	562	1125
333	563	1123
334	565	1121
335	566	1119
336	568	1117
337	569	1115
338	571	1113
339	572	1111
340	574	1109
341	575	1107
342	577	1106
343	578	1104
344	580	1102
345	582	1100
346	583	1098
347	585	1096
348	586	1094
349	588	1092
350	589	1090
351	591	1088
352	593	1086
353	594	1084
354	596	1082
355	597	1081
356	599	1079
357	600	1077
358	602	1075
359	603	1073
360	605	1071
361	607	1069
362	608	1068
363	610	1066
364	613	1067
365	615	1065
366	616	1063
367	618	1061
368	619	1059
369	621	1057
370	622	1055
371	624	1053
372	625	1051
373	627	1049
374	628	1048
375	630	1046
376	631	1044
377	633	1042
378	635	1040
379	636	1039
380	638	1037
381	639	1035
382	641	1033
383	643	1032
384	644	1030
385	646	1028
386	648	1026
387	649	1024
388	651	1023
389	652	1021
390	654	1019
391	655	1017
392	657	1015
393	658	1013
394	661	1012
395	662	1010
396	664	1008
397	665	1006
398	667	1005
399	668	1003
400	670	1001
401	671	999
402	673	997
403	674	995
404	676	993
405	678	992
406	679	990
407	681	988
408	683	987
409	684	985
410	686	983
411	688	982
412	689	980
413	691	978
414	692	976
415	694	974
416	695	973
417	697	971
418	699	969
419	700	967
420	702	965
421	703	963
422	705	962
423	707	960
424	708	958
425	710	957
426	711	955
427	713	953
428	714	951
429	716	949
430	717	947
431	719	945
432	720	944
433	722	942
434	723	940
435	725	938
436	727	936
437	728	935
438	730	933
439	732	931
440	733	929
441	735	928
442	736	926
443	738	924
444	740	923
445	741	921
446	743	919
447	744	917
448	746	916
449	748	914
450	749	912
451	751	910
452	752	909
453	754	907
454	755	905
455	757	903
456	759	902
457	760	900
458	762	898
459	763	896
460	765	894
461	766	893
462	768	891
463	770	889
464	771	887
465	773	885
466	774	884
467	776	882
468	777	880
469	779	878
470	781	877
471	782	875
472	784	873
473	785	871
474	787	869
475	788	868
476	790	866
477	791	864
478	793	862
479	794	860
480	796	859
481	797	857
482	799	856
483	801	854
484	802	852
485	804	850
486	805	848
487	807	847
488	808	845
489	810	843
490	811	841
491	813	840
492	815	838
493	816	836
494	818	834
495	819	833
496	821	831
497	823	829
498	824	828
499	826	826
500	827	824
501	829	822
502	831	821
503	833	820
504	834	818
505	836	816
506	837	814
507	839	812
508	840	811
509	842	809
510	844	807
511	845	805
512	847	804
513	848	802
514	850	800
515	851	798
516	853	797
517	854	795
518	856	793
519	858	792
520	859	790
521	861	788
522	863	787
523	864	785
524	866	783
525	868	782
526	869	780
527	871	778
528	872	776
529	874	775
530	875	773
531	877	771
532	878	770
533	880	768
534	882	766
535	883	765
536	885	763
537	887	762
538	889	760
539	890	758
540	892	757
541	893	755
542	895	753
543	896	751
544	898	750
545	900	748
546	901	746
547	903	744
548	904	743
549	906	741
550	907	739
551	909	737
552	910	736
553	912	734
554	914	733
555	915	731
556	917	729
557	918	727
558	920	726
559	922	724
560	923	722
561	925	721
562	926	719
563	928	717
564	929	715
565	931	714
566	932	712
567	934	710
568	935	708
569	937	707
570	939	705
571	940	704
572	942	702
573	944	701
574	946	699
575	947	697
576	949	696
577	951	694
578	952	692
579	954	691
580	955	689
581	957	688
582	959	686
583	961	684
584	963	683
585	965	682
586	967	680
587	968	678
588	970	677
589	972	675
590	974	674
591	975	672
592	977	670
593	978	668
594	980	667
595	982	665
596	984	664
597	985	662
598	987	660
599	988	659
600	990	657
601	991	655
602	993	654
603	994	652
604	996	650
605	998	648
606	999	647
607	1001	645
608	1002	643
609	1004	641
610	1005	640
611	1007	638
612	1008	636
613	1010	635
614	1013	634
615	1015	632
616	1017	631
617	1018	629
618	1020	627
619	1021	626
620	1023	624
621	1025	622
622	1026	621
623	1028	619
624	1029	617
625	1031	616
626	1032	614
627	1034	612
628	1036	611
629	1037	609
630	1039	607
631	1040	605
632	1042	604
633	1043	602
634	1045	600
635	1046	599
636	1048	597
637	1049	595
638	1051	594
639	1053	592
640	1054	590
641	1056	589
642	1058	587
