iter	Logloss
0	0.6913804992
1	0.6899350967
2	0.6880925026
3	0.6860692667
4	0.6844359278
5	0.6832334339
6	0.681814525
7	0.6796189939
8	0.6781769147
9	0.67720704
10	0.6759723751
11	0.6750413725
12	0.6732095545
13	0.6712209243
14	0.6700469481
15	0.668113435
16	0.6663570683
17	0.6650205896
18	0.6631418954
19	0.661126864
20	0.6584612147
21	0.6568557089
22	0.6547263422
23	0.6533753775
24	0.6513455166
25	0.6504647862
26	0.6493084495
27	0.6468330956
28	0.6454096985
29	0.6441891983
30	0.6427836867
31	0.6401613403
32	0.6392351439
33	0.6373985608
34	0.6359392586
35	0.6347341523
36	0.6328824526
37	0.63081452
38	0.6298347133
39	0.6284003882
40	0.6274813943
41	0.6258883596
42	0.6239218008
43	0.622793278
44	0.621257706
45	0.6200450557
46	0.6177777684
47	0.6158702753
48	0.6148175227
49	0.6132579851
50	0.6122606495
51	0.6110827473
52	0.6095424526
53	0.6087703844
54	0.6075039456
55	0.6060960372
56	0.6050318166
57	0.6032907982
58	0.6020159354
59	0.6009072259
60	0.5996223362
61	0.5988029262
62	0.5970495817
63	0.5956867183
64	0.5940756883
65	0.5925554291
66	0.5904727004
67	0.5895195124
68	0.588297386
69	0.5875385896
70	0.5869885153
71	0.5858535523
72	0.5846070397
73	0.5834386018
74	0.5827368982
75	0.5816536949
76	0.5797924227
77	0.5777581776
78	0.5763934026
79	0.5753184253
80	0.574480827
81	0.5733115509
82	0.5720347101
83	0.5710783558
84	0.569520368
85	0.5686550347
86	0.5668188976
87	0.5654401036
88	0.5645416446
89	0.5633245167
90	0.5621886198
91	0.5615767351
92	0.5601538157
93	0.5594677628
94	0.5582934278
95	0.5573124494
96	0.5564005628
97	0.5549969519
98	0.553729851
99	0.5529895663
100	0.5517696612
101	0.5509253279
102	0.5496555061
103	0.5491577748
104	0.548248531
105	0.5476782085
106	0.5462404714
107	0.5451954277
108	0.5437334296
109	0.5422809645
110	0.5406902025
111	0.5386530624
112	0.5374251862
113	0.5366585272
114	0.5357901735
115	0.5350912406
116	0.5331768315
117	0.53214219
118	0.5312046101
119	0.5305323143
120	0.5291126622
121	0.5279615352
122	0.5270275151
123	0.5259730235
124	0.5249682874
125	0.5243882465
126	0.5238956629
127	0.5229683627
128	0.5217138145
129	0.5206781238
130	0.5196150304
131	0.5182838066
132	0.5176029785
133	0.5167728874
134	0.5161093062
135	0.5152455269
136	0.5145339704
137	0.5139497345
138	0.5130960211
139	0.5127137243
140	0.5113614644
141	0.5103507213
142	0.5090537781
143	0.5078500705
144	0.5073822903
145	0.5057771885
146	0.5045952507
147	0.5038902508
148	0.5019781244
149	0.5013641489
150	0.5011889434
151	0.5001461047
152	0.4989801756
153	0.4975665035
154	0.4964602619
155	0.4955205092
156	0.4947221398
157	0.4942225118
158	0.4932376966
159	0.4918739665
160	0.490444216
161	0.4898072964
162	0.4886688894
163	0.4880184048
164	0.4872346526
165	0.4867091641
166	0.4858925599
167	0.4854161001
168	0.484432988
169	0.4833776767
170	0.4829074608
171	0.4822815037
172	0.4818687746
173	0.480769896
174	0.4793881214
175	0.4786178837
176	0.4778085033
177	0.4771334368
178	0.4760059667
179	0.4746692965
180	0.4733375161
181	0.4727891064
182	0.4716084955
183	0.4709464671
184	0.4701669414
185	0.4697819644
186	0.4696965404
187	0.4687580961
188	0.4680295989
189	0.4674566566
190	0.4668184283
191	0.4663291768
192	0.4641789082
193	0.463272858
194	0.4629702792
195	0.4619173412
196	0.4609795238
197	0.4604717006
198	0.4594976513
199	0.45911637
200	0.4582843368
201	0.4576231802
202	0.456716244
203	0.4557177417
204	0.4549832479
205	0.4546491409
206	0.4536027467
