iter	Passed	Remaining
0	62	62491
1	72	36344
2	81	27100
3	88	21990
4	96	19121
5	104	17377
6	113	16102
7	121	15107
8	130	14340
9	136	13487
10	142	12849
11	150	12363
12	156	11886
13	164	11561
14	171	11235
15	180	11127
16	187	10830
17	194	10636
18	201	10421
19	210	10309
20	219	10238
21	230	10226
22	241	10254
23	247	10074
24	254	9913
25	260	9756
26	268	9675
27	274	9532
28	280	9402
29	287	9280
30	295	9250
31	305	9245
32	312	9150
33	318	9053
34	325	8968
35	334	8946
36	340	8861
37	347	8791
38	353	8717
39	365	8766
40	371	8684
41	379	8647
42	386	8600
43	395	8601
44	402	8540
45	409	8483
46	417	8474
47	426	8461
48	433	8417
49	440	8363
50	451	8402
51	460	8390
52	466	8329
53	472	8284
54	482	8292
55	489	8253
56	497	8227
57	503	8180
58	512	8169
59	518	8120
60	525	8085
61	532	8055
62	538	8015
63	546	7995
64	553	7958
65	560	7927
66	567	7900
67	573	7860
68	580	7826
69	586	7788
70	592	7756
71	599	7732
72	606	7702
73	614	7688
74	620	7656
75	628	7637
76	634	7604
77	640	7576
78	647	7547
79	654	7530
80	663	7527
81	670	7501
82	677	7481
83	683	7454
84	691	7438
85	697	7412
86	703	7384
87	710	7363
88	716	7334
89	724	7327
90	731	7302
91	737	7278
92	744	7258
93	750	7236
94	758	7229
95	765	7206
96	771	7180
97	777	7159
98	785	7145
99	792	7128
100	798	7103
101	804	7080
102	811	7063
103	817	7041
104	824	7025
105	831	7011
106	837	6992
107	845	6986
108	852	6968
109	860	6964
110	867	6947
111	874	6930
112	880	6909
113	886	6890
114	894	6880
115	900	6863
116	909	6861
117	915	6842
118	921	6824
119	928	6809
120	934	6790
121	944	6798
122	951	6781
123	958	6770
124	967	6769
125	975	6765
126	982	6751
127	989	6738
128	995	6719
129	1001	6704
130	1008	6691
131	1015	6674
132	1025	6683
133	1031	6668
134	1038	6654
135	1044	6637
136	1051	6621
137	1057	6608
138	1064	6595
139	1072	6585
140	1078	6570
141	1087	6568
142	1093	6551
143	1099	6535
144	1107	6527
145	1113	6510
146	1120	6501
147	1126	6485
148	1133	6472
149	1140	6460
150	1147	6450
151	1153	6437
152	1161	6427
153	1167	6413
154	1174	6401
155	1180	6386
156	1186	6373
157	1193	6360
158	1199	6346
159	1207	6340
160	1214	6326
161	1220	6314
162	1227	6302
163	1233	6287
164	1239	6274
165	1246	6260
166	1252	6247
167	1258	6233
168	1268	6239
169	1275	6226
170	1281	6212
171	1288	6203
172	1294	6189
173	1301	6177
174	1307	6164
175	1314	6152
176	1321	6145
177	1329	6138
178	1336	6127
179	1342	6114
180	1348	6101
181	1355	6090
182	1361	6076
183	1367	6066
184	1374	6054
185	1380	6041
186	1384	6018
187	1392	6012
188	1398	6000
189	1404	5988
190	1411	5976
191	1417	5966
192	1424	5955
193	1430	5944
194	1437	5933
195	1443	5922
196	1453	5924
197	1462	5923
198	1473	5933
199	1484	5936
200	1493	5936
201	1504	5943
202	1514	5947
203	1524	5949
204	1533	5947
205	1541	5940
206	1549	5936
207	1558	5934
208	1569	5940
209	1579	5940
210	1585	5929
211	1592	5918
212	1599	5908
213	1605	5896
214	1611	5884
215	1618	5874
216	1624	5863
217	1632	5856
218	1639	5846
219	1645	5834
220	1653	5826
221	1659	5816
222	1665	5802
223	1679	5818
224	1692	5830
225	1702	5831
226	1712	5832
227	1726	5845
228	1737	5850
229	1748	5852
230	1757	5850
231	1765	5842
232	1772	5834
233	1781	5830
234	1787	5819
235	1797	5817
236	1804	5809
237	1813	5806
238	1820	5796
239	1825	5780
240	1832	5772
241	1839	5761
242	1846	5751
243	1852	5740
244	1859	5729
245	1866	5720
246	1876	5722
247	1885	5716
248	1891	5704
249	1901	5703
250	1910	5701
251	1922	5705
252	1934	5711
253	1942	5704
254	1949	5694
255	1958	5690
256	1964	5679
257	1973	5674
258	1983	5674
259	1991	5669
260	2001	5665
261	2007	5655
262	2015	5646
263	2021	5636
264	2031	5635
265	2040	5631
266	2049	5627
267	2059	5623
268	2069	5623
269	2084	5634
270	2097	5642
271	2107	5640
272	2117	5638
273	2127	5636
274	2135	5630
275	2144	5625
276	2155	5625
277	2165	5624
278	2177	5628
279	2186	5621
280	2194	5615
281	2203	5611
282	2212	5604
283	2220	5598
284	2227	5587
285	2234	5578
286	2241	5567
287	2252	5569
288	2265	5573
289	2274	5568
290	2283	5562
291	2294	5562
292	2301	5553
293	2308	5544
294	2315	5532
295	2325	5530
296	2334	5526
297	2348	5532
298	2363	5541
299	2372	5536
300	2384	5537
301	2396	5538
302	2403	5529
303	2410	5519
304	2420	5515
305	2428	5507
306	2434	5495
307	2441	5486
308	2448	5475
309	2454	5463
310	2462	5456
311	2473	5453
312	2483	5451
313	2495	5450
314	2504	5445
315	2517	5449
316	2528	5447
317	2536	5440
318	2543	5429
319	2561	5443
320	2576	5449
321	2588	5449
322	2597	5445
323	2606	5439
324	2617	5436
325	2626	5429
326	2641	5435
327	2650	5429
328	2659	5424
329	2668	5417
330	2677	5412
331	2689	5412
332	2699	5407
333	2709	5403
334	2719	5398
335	2729	5394
336	2739	5389
337	2749	5385
338	2757	5376
339	2766	5369
340	2775	5364
341	2788	5364
342	2796	5356
343	2808	5356
344	2818	5350
345	2833	5356
346	2844	5352
347	2856	5351
348	2865	5344
349	2874	5338
350	2883	5332
351	2891	5322
352	2899	5314
353	2911	5313
354	2919	5304
355	2927	5295
356	2935	5287
357	2944	5281
358	2954	5274
359	2965	5271
360	2973	5262
361	2980	5252
362	2984	5237
363	2993	5230
364	3000	5219
365	3007	5209
366	3013	5198
367	3021	5189
368	3030	5182
369	3039	5174
370	3045	5163
371	3054	5155
372	3060	5144
373	3067	5134
374	3073	5123
375	3080	5112
376	3091	5108
377	3098	5097
378	3105	5087
379	3111	5077
380	3119	5068
381	3128	5061
382	3138	5055
383	3146	5046
384	3152	5036
385	3159	5025
386	3165	5014
387	3173	5004
388	3179	4993
389	3186	4983
390	3193	4973
391	3200	4964
392	3207	4953
393	3213	4942
394	3220	4932
395	3229	4926
396	3238	4919
397	3251	4918
398	3261	4912
399	3268	4902
400	3274	4891
401	3282	4882
402	3288	4872
403	3296	4863
404	3304	4854
405	3310	4843
406	3321	4839
407	3332	4835
408	3347	4836
409	3358	4832
410	3378	4841
411	3389	4837
412	3402	4835
413	3413	4831
414	3426	4830
415	3434	4822
416	3442	4812
417	3451	4805
418	3457	4794
419	3467	4788
420	3473	4777
421	3483	4770
422	3490	4761
423	3499	4754
424	3505	4743
425	3513	4733
426	3522	4726
427	3530	4718
428	3539	4711
429	3547	4702
430	3554	4692
431	3561	4682
432	3568	4673
433	3575	4663
434	3583	4654
435	3589	4643
436	3597	4635
437	3607	4628
438	3616	4620
439	3625	4614
440	3633	4605
441	3639	4595
442	3655	4596
443	3666	4591
444	3688	4600
445	3703	4600
446	3716	4598
447	3728	4594
448	3739	4588
449	3763	4599
450	3772	4592
451	3783	4586
452	3796	4584
453	3807	4578
454	3814	4568
455	3825	4563
456	3838	4560
457	3849	4555
458	3865	4555
459	3875	4550
460	3887	4544
461	3906	4549
462	3923	4550
463	3934	4545
464	3947	4542
465	3958	4535
466	3969	4530
467	3982	4526
468	4001	4530
469	4013	4526
470	4032	4528
471	4043	4523
472	4055	4518
473	4063	4508
474	4074	4503
475	4084	4496
476	4098	4493
477	4108	4486
478	4117	4478
479	4126	4470
480	4134	4460
481	4141	4450
482	4149	4441
483	4155	4430
484	4165	4423
485	4173	4414
486	4184	4408
487	4193	4400
488	4202	4391
489	4213	4385
490	4222	4377
491	4231	4369
492	4244	4364
493	4255	4358
494	4264	4350
495	4275	4344
496	4283	4335
497	4292	4326
498	4299	4316
499	4306	4306
500	4314	4297
501	4320	4286
502	4327	4275
503	4333	4264
504	4339	4254
505	4347	4244
506	4353	4233
507	4360	4222
508	4366	4212
509	4370	4199
510	4377	4188
511	4383	4178
512	4391	4169
513	4398	4158
514	4410	4153
515	4421	4147
516	4434	4142
517	4446	4137
518	4458	4132
519	4476	4132
520	4493	4130
